rsi,symbol,win_ratio,priority,Symbol,token
55,SUMICHEM,45.68%,0,SUMICHEM,17105
34,GAEL,81.82%,0,GAEL,8828
54,IGL,27.72%,0,IGL,11262
51,BLUEDART,54.69%,0,BLUEDART,495
59,MTARTECH,47.83%,0,MTARTECH,2718
50,NUVAMA,53.57%,0,NUVAMA,18722
65,HONASA,41.67%,0,HONASA,19813
58,BALAMINES,50.00%,0,BALAMINES,14504
40,SHREECEM,54.17%,0,SHREECEM,3103
50,MRPL,56.14%,0,MRPL,2283
25,CLEAN,80.00%,0,CLEAN,5049
50,VARROC,46.27%,0,VARROC,3857
55,ACC,42.25%,0,ACC,22
42,SAPPHIRE,57.78%,0,SAPPHIRE,6725
54,WELSPUNLIV,41.43%,0,WELSPUNLIV,11253
49,NIACL,43.48%,0,NIACL,399
44,RHIM,51.85%,0,RHIM,31166
33,PETRONET,59.26%,0,PETRONET,11351
51,FSL,42.50%,0,FSL,14306
62,INOXWIND,44.90%,0,INOXWIND,7852
61,ATGL,53.33%,0,ATGL,6071
51,BIOCON,40.96%,0,BIOCON,11373
55,SBICARD,50.79%,0,SBICARD,17971
51,M&MFIN,71.43%,0,M&MFIN,20050
40,JUBLINGREA,57.50%,0,JUBLINGREA,2786
29,BANDHANBNK,68.18%,0,BANDHANBNK,2270
50,NAVINFLUOR,46.59%,0,NAVINFLUOR,14675
52,INDUSTOWER,29.89%,0,INDUSTOWER,29135
49,SPARC,43.48%,0,SPARC,14791
41,FLUOROCHEM,51.06%,0,FLUOROCHEM,13750
51,SAMMAANCAP,42.25%,0,SAMMAANCAP,30125
51,BBTC,31.76%,0,BBTC,380
44,ARE&M,37.88%,0,ARE&M,100
59,INDIAMART,47.54%,0,INDIAMART,10728
41,GRAPHITE,52.73%,0,GRAPHITE,592
45,IDBI,58.46%,0,IDBI,1476
51,PVRINOX,40.85%,0,PVRINOX,13149
27,BATAINDIA,63.64%,0,BATAINDIA,371
46,KRBL,26.58%,0,KRBL,12550
54,ITI,28.05%,0,ITI,1675
47,KNRCON,43.21%,0,KNRCON,15286
49,GRSE,41.98%,0,GRSE,5477
32,TMB,66.67%,0,TMB,10945
49,EPL,36.17%,0,EPL,12354
41,GODREJPROP,46.03%,0,GODREJPROP,17875
61,NUVOCO,33.33%,0,NUVOCO,5430
52,AUBANK,40.98%,0,AUBANK,21241
55,FDC,41.77%,0,FDC,4898
54,KANSAINER,51.56%,0,KANSAINER,1196
47,ALOKINDS,40.54%,0,ALOKINDS,17675
38,GSPL,53.66%,0,GSPL,13201
48,RBA,20.78%,0,RBA,1499
35,SAREGAMA,54.84%,0,SAREGAMA,4892
46,MANYAVAR,50.00%,0,MANYAVAR,8178
51,STLTECH,35.90%,0,STLTECH,9309
33,CAMPUS,50.00%,0,CAMPUS,9367
42,LATENTVIEW,51.02%,0,LATENTVIEW,6818
49,GMMPFAUDLR,29.07%,0,GMMPFAUDLR,1570
50,ZEEL,40.58%,0,ZEEL,3812
63,HAPPSTMNDS,45.45%,0,HAPPSTMNDS,57
36,DEVYANI,45.45%,0,DEVYANI,5373
54,FACT,44.87%,0,FACT,1008
