invested_amount,quantity,entry_price,exit_price,index,entry_time,exit_time,pnl,percentage_move,rsi
99981.42000000001,969,103.18,102.14820000000002,4013,2025-03-19 11:30:00+05:30,2025-03-19 13:35:00+05:30,-999.8141999999901,1,49
99952.35,969,103.15,102.1185,4013,2025-03-19 12:25:00+05:30,2025-03-19 13:35:00+05:30,-999.5235000000081,1,49
99910.43999999999,967,103.32,102.28679999999999,4013,2025-03-19 13:15:00+05:30,2025-03-19 13:35:00+05:30,-999.1044000000077,1,49
99919.20000000001,948,105.4,106.45400000000001,4039,2025-03-20 09:15:00+05:30,2025-03-20 09:30:00+05:30,999.1920000000019,1,49
99939.1,970,103.03,104.06030000000001,4091,2025-03-20 12:45:00+05:30,2025-03-20 13:50:00+05:30,999.3910000000108,1,49
99910.0,970,103.0,104.03,4091,2025-03-20 13:10:00+05:30,2025-03-20 13:50:00+05:30,999.100000000001,1,49
99977.9,970,103.07,104.1007,4091,2025-03-20 13:25:00+05:30,2025-03-20 13:50:00+05:30,999.7790000000099,1,49
99952.35,969,103.15,103.2,4110,2025-03-20 12:00:00+05:30,2025-03-20 15:25:00+05:30,48.449999999997246,1,49
99936.31999999999,968,103.24,103.2,4110,2025-03-20 14:45:00+05:30,2025-03-20 15:25:00+05:30,-38.7199999999923,1,49
99910.43999999999,967,103.32,103.2,4110,2025-03-20 15:15:00+05:30,2025-03-20 15:25:00+05:30,-116.03999999999066,1,49
99957.16,964,103.69,104.7269,4115,2025-03-21 09:15:00+05:30,2025-03-21 09:35:00+05:30,999.5716000000027,1,49
99997.92000000001,944,105.93,105.99,4185,2025-03-21 12:35:00+05:30,2025-03-21 15:25:00+05:30,56.63999999998873,1,49
99986.29000000001,943,106.03,105.99,4185,2025-03-21 12:55:00+05:30,2025-03-21 15:25:00+05:30,-37.720000000005896,1,49
99941.28,944,105.87,105.99,4185,2025-03-21 14:05:00+05:30,2025-03-21 15:25:00+05:30,113.27999999999088,1,49
99927.36,942,106.08,105.99,4185,2025-03-21 14:15:00+05:30,2025-03-21 15:25:00+05:30,-84.78000000000321,1,49
99946.25,925,108.05,106.96949999999998,4188,2025-03-24 09:15:00+05:30,2025-03-24 09:25:00+05:30,-999.4625000000137,1,49
99981.42,938,106.59,105.5241,4215,2025-03-24 09:40:00+05:30,2025-03-24 11:40:00+05:30,-999.8141999999992,1,49
99943.9,938,106.55,105.48449999999998,4215,2025-03-24 09:55:00+05:30,2025-03-24 11:40:00+05:30,-999.4390000000135,1,49
99940.42,937,106.66,105.5934,4255,2025-03-24 12:20:00+05:30,2025-03-24 15:00:00+05:30,-999.4041999999944,1,49
99965.93999999999,939,106.46,105.3954,4257,2025-03-24 10:40:00+05:30,2025-03-24 15:10:00+05:30,-999.6593999999988,1,49
99965.93999999999,939,106.46,105.3954,4257,2025-03-24 10:55:00+05:30,2025-03-24 15:10:00+05:30,-999.6593999999988,1,49
